Controversial Flag,Planet Name,Host Name,Planet Letter,Number of Stars,Number of Planets,Circumbinary Flag,Discovery Method,Discovery Year,Discovery Locale,Detections by Radial Velocity Variations,Detected by Transits,Detected by Imaging,Orbital Period (years),Orbit Semi-Major Axis (au),Planet Radius (Earth Radius),Planet Mass (Earth Mass),Planet Density (g/cm**3),Eccentricity,Equilibrium Temperature (K),Inclination (deg),Transit Depth (%),Transit Duration (hrs),Ratio of Semi-Major Axis to Stellar Radius,Radial Velocity Amplitude (m/s),Spectral Type,Stellar Effective Temperature (K),Stellar Radius (Solar Radius),Stellar Mass (Solar mass),Stellar Metallicity (Solar Metallicity),Stellar Luminosity (log10(Solar)),Stellar Surface Gravity (log10(m/s^2)),Stellar Age (Gyr),Stellar Density (g/cm**3),Stellar Rotational Period (days),Systemic Radial Velocity (km/s),Total Proper Motion (mas/yr),Distance (ly),RA,Dec,U,B,G,V,R,I,Z,J,H,K,W1,W2,W3,W4,Spectral Class,Luminosity Class,Temperature Subscore,Eccentricity Subscore,Number of Stars Subscore,Habitability Score
0,K2-187 d,K2-187,d,1,4,0,Transit,2018,Space,0,1,0,0.02,0.072,2.4,6.35,2.52,,865.0,90.3,0.1224,2.8392,0.0259,,nan,5438.0,0.83,0.97,1.0,-0.196,2.6,,1.6823,,,32.9140281,1079.3024,132.5235618,23.1924709,15.6548,13.986,13.5671,13.102,12.9476,12.7502,13.3229,11.687,11.289,11.196,11.169,11.235,11.069,8.362001,-,---,0.001,0.1,1.0,0.0
0,K2-187 e,K2-187,e,1,4,0,Transit,2018,Space,0,1,0,0.037,0.1106,1.9,4.27,3.42,,698.0,90.1,0.0748,4.0296,0.0206,,nan,5438.0,0.83,0.97,1.0,-0.21,2.6,,1.6823,,,32.9140281,1079.3024,132.5235618,23.1924709,15.6548,13.986,13.5671,13.102,12.9476,12.7502,13.3229,11.687,11.289,11.196,11.169,11.235,11.069,8.362001,-,---,0.001,0.1,1.0,0.0
0,K2-188 b,K2-188,b,1,2,0,Transit,2018,Space,0,1,0,0.005,0.0289,1.35,2.39,5.34,,1692.0,83.928,,,0.0104,,nan,5977.0,1.19,1.06,0.9772,0.184,2.31,,0.83646,,-34.21,16.7652765,1457.3335,129.8137008,23.3574367,15.4736,13.219,12.952,12.657,12.5372,12.4405,14.0147,11.502,11.246,11.149,11.121,11.19,11.286,8.797,-,---,0.001,0.1,1.0,0.0
0,K2-188 c,K2-188,c,1,2,0,Transit,2018,Space,0,1,0,0.021,0.0785,2.83,8.4,2.04,,1026.0,88.098,0.048,3.5808,0.0218,,nan,5977.0,1.19,1.06,0.9772,0.211,2.31,,0.83646,,-34.21,16.7652765,1457.3335,129.8137008,23.3574367,15.4736,13.219,12.952,12.657,12.5372,12.4405,14.0147,11.502,11.246,11.149,11.121,11.19,11.286,8.797,-,---,0.001,0.1,1.0,0.0
0,K2-189 b,K2-189,b,1,2,0,Transit,2018,Space,0,1,0,0.007,0.0361,1.52,2.92,4.57,,1197.0,88.113,0.03,2.22,0.0159,,nan,5519.0,0.87,0.94,1.0,-0.239,2.53,,2.07235,,15.96,60.2307097,789.6661,203.6214411,-15.0365158,,13.016,,12.398,,,,11.038,10.701,10.589,10.55,10.606,10.558,9.344,-,---,0.001,0.1,1.0,0.0
0,K2-189 c,K2-189,c,1,2,0,Transit,2018,Space,0,1,0,0.018,0.068,2.5,6.8,2.39,,872.0,88.183,0.0784,2.7096,0.0262,,nan,5519.0,0.87,0.94,1.0,-0.219,2.53,,2.07235,,15.96,60.2307097,789.6661,203.6214411,-15.0365158,,13.016,,12.398,,,,11.038,10.701,10.589,10.55,10.606,10.558,9.344,-,---,0.001,0.1,1.0,0.0
0,K2-19 b,K2-19,b,1,3,0,Transit,2015,Space,1,1,0,0.022,0.074,7.0,32.4,0.334,0.2,854.0,91.5,0.6673,3.237,0.0777,9.6,G9 V,5322.0,0.82,0.88,1.1482,-0.292,2.51,8.0,1.76,20.54,7.31,19.2996223,945.2882,174.9602543,0.603596,15.8639,13.798,13.8193,13.024,12.8409,12.7544,13.8979,11.596,11.208,11.161,11.105,11.152,10.922,8.978,G,V,0.001,0.999999997939,1.0,0.0
0,K2-19 c,K2-19,c,1,3,0,Transit,2015,Space,1,1,0,0.033,0.0971,4.1,10.8,0.94,0.21,745.0,91.1,0.2325,3.823,0.0458,2.3,G9 V,5322.0,0.82,0.88,1.1482,-0.305,2.51,8.0,1.76,20.54,7.31,19.2996223,945.2882,174.9602543,0.603596,15.8639,13.798,13.8193,13.024,12.8409,12.7544,13.8979,11.596,11.208,11.161,11.105,11.152,10.922,8.978,G,V,0.001,0.999999996602,1.0,0.0
0,K2-19 d,K2-19,d,1,3,0,Transit,2016,Space,1,1,0,0.007,0.0344,1.11,10.0,51.4,0.0,1252.0,90.8,0.019,1.93,0.0124,6.9,G9 V,5322.0,0.82,0.88,1.1482,-0.305,2.51,8.0,1.76,20.4,7.31,19.2996223,945.2882,174.9602543,0.603596,15.8639,13.798,13.8193,13.024,12.8409,12.7544,13.8979,11.596,11.208,11.161,11.105,11.152,10.922,8.978,G,V,0.001,1.0,1.0,0.0
0,K2-190 b,K2-190,b,1,2,0,Transit,2018,Space,0,1,0,0.028,,1.357,2.41,5.3,,,88.357,0.00731,4.224,0.01364,,nan,5631.0,0.91,0.9,0.6457,-0.068,2.38,,1.4816,,-10.64,114.8713513,524.0642,205.3630485,-13.1608686,,11.778,,11.138,,,,9.834,9.447,9.41,9.353,9.392,9.358,8.648,-,---,0.1,0.1,1.0,0.0
